CellName,strain,treatment,Rm,Rb,Threshold,maxFiringRate
2023_01_13_03_0005.abf,SHR,1,29.6200305889532,153.94015035058,17.3323032875779,19.4103757603648
2023_02_03_03_0008.abf,SHR,1,41.4787868278426,318.618572143895,7.83686680606532,20.1896416747069
2023_02_03_04_0007.abf,SHR,1,53.8371473473961,488.738049279496,44.8104350496317,18.9368971420536
2023_03_02_01_0007.abf,SHR,1,25.0044622648066,274.738078215712,30.3746265183542,12.6124514126904
2023_03_31_02_0003.abf,SHR,1,17.9706543639334,94.7723387603237,88.3232929253688,12.5886790805835
2023_04_13_01_0003.abf,SHR,1,5.14572826289352,118.525542332889,83.2028209229163,3.3795536232206
2023_04_13_02_0003.abf,SHR,1,23.5337194647628,150.942365050568,38.260196430154,15.1296855637303
2023_04_13_04_0004.abf,SHR,1,17.9512774146529,40.5295495926378,45.1117091817881,15.5691075085018
2023_04_13_08_0003.abf,SHR,1,16.8689253283745,52.1659626057549,35.7961934926139,14.1726470233388
2023_04_13_09_0003.abf,SHR,1,23.2279224512913,95.7507134113128,36.5399312013053,17.2040188901306
2023_05_11_05_0003.abf,SHR,1,36.9941014530968,191.512523707619,18.0337711308486,22.3402336381854
2023_05_22_07_0005.abf,SHR,1,6.49887283838705,78.8789220703227,72.013968928221,4.88107295524827
2023_05_25_02_0003.abf,SHR,1,19.684612659944,87.3422053906783,69.5176233510494,14.4400471936089
2023_05_25_04_0003.abf,SHR,1,28.8518830346361,114.841901815535,33.7782501264496,20.3790804503364
2023_05_26_02_0003.abf,SHR,1,17.1043256989589,137.371771566541,61.7423356652192,11.0112962152907
2023_06_22_01_0004.abf,SHR,1,24.7474902107555,150.02970070311,33.2236243514504,16.0483203647909
2023_07_06_01_0005.abf,SHR,1,29.5038329604953,208.68394342103,66.3885822393893,15.8910994755748
2023_07_06_04,SHR,1,27.9412859591096,177.827857852444,91.2150172371304,15.4133531265709
2024_11_04_01_0007.abf,SHR,1,36.116857705124,77.98941844125,9.58646097966591e-09,28.8570392808643
