CellName,Current_pA,FiringRate_Hz
2023_01_13_03_0005.abf,-50,0
2023_01_13_03_0005.abf,-35,0
2023_01_13_03_0005.abf,-20,0
2023_01_13_03_0005.abf,-5,0
2023_01_13_03_0005.abf,10,0
2023_01_13_03_0005.abf,25,1
2023_01_13_03_0005.abf,40,4
2023_01_13_03_0005.abf,55,6
2023_01_13_03_0005.abf,70,8
2023_01_13_03_0005.abf,85,9
2023_01_13_03_0005.abf,100,10
2023_01_13_03_0005.abf,115,12
2023_01_13_03_0005.abf,130,13
2023_01_13_03_0005.abf,145,13
2023_01_13_03_0005.abf,160,14
2023_01_13_03_0005.abf,175,15
2023_01_13_03_0005.abf,190,15
2023_01_13_03_0005.abf,205,16
2023_01_13_03_0005.abf,220,17
2023_01_13_03_0005.abf,235,17
2023_01_13_03_0005.abf,250,18
2023_01_13_03_0005.abf,265,18
2023_01_13_03_0005.abf,280,19
2023_01_13_03_0005.abf,295,19
2023_01_13_03_0005.abf,310,20
2023_02_03_03_0008.abf,-50,0
2023_02_03_03_0008.abf,-35,0
2023_02_03_03_0008.abf,-20,0
2023_02_03_03_0008.abf,-5,0
2023_02_03_03_0008.abf,10,0
2023_02_03_03_0008.abf,25,2
2023_02_03_03_0008.abf,40,4
2023_02_03_03_0008.abf,55,6
2023_02_03_03_0008.abf,70,7
2023_02_03_03_0008.abf,85,8
2023_02_03_03_0008.abf,100,9
2023_02_03_03_0008.abf,115,10
2023_02_03_03_0008.abf,130,11
2023_02_03_03_0008.abf,145,13
2023_02_03_03_0008.abf,160,14
2023_02_03_03_0008.abf,175,14
2023_02_03_03_0008.abf,190,15
2023_02_03_03_0008.abf,205,16
2023_02_03_03_0008.abf,220,16
2023_02_03_03_0008.abf,235,17
2023_02_03_03_0008.abf,250,18
2023_02_03_03_0008.abf,265,19
2023_02_03_03_0008.abf,280,19
2023_02_03_03_0008.abf,295,20
2023_02_03_03_0008.abf,310,20
2023_02_03_04_0007.abf,-50,0
2023_02_03_04_0007.abf,-35,0
2023_02_03_04_0007.abf,-20,0
2023_02_03_04_0007.abf,-5,1
2023_02_03_04_0007.abf,10,0
2023_02_03_04_0007.abf,25,0
2023_02_03_04_0007.abf,40,0
2023_02_03_04_0007.abf,55,0
2023_02_03_04_0007.abf,70,3
2023_02_03_04_0007.abf,85,5
2023_02_03_04_0007.abf,100,6
2023_02_03_04_0007.abf,115,7
2023_02_03_04_0007.abf,130,8
2023_02_03_04_0007.abf,145,9
2023_02_03_04_0007.abf,160,10
2023_02_03_04_0007.abf,175,11
2023_02_03_04_0007.abf,190,12
2023_02_03_04_0007.abf,205,13
2023_02_03_04_0007.abf,220,14
2023_02_03_04_0007.abf,235,15
2023_02_03_04_0007.abf,250,16
2023_02_03_04_0007.abf,265,17
2023_02_03_04_0007.abf,280,18
2023_02_03_04_0007.abf,295,18
2023_02_03_04_0007.abf,310,19
2023_03_02_01_0007.abf,-50,0
2023_03_02_01_0007.abf,-35,0
2023_03_02_01_0007.abf,-20,0
2023_03_02_01_0007.abf,-5,0
2023_03_02_01_0007.abf,10,0
2023_03_02_01_0007.abf,25,0
2023_03_02_01_0007.abf,40,1
2023_03_02_01_0007.abf,55,2
2023_03_02_01_0007.abf,70,3
2023_03_02_01_0007.abf,85,4
2023_03_02_01_0007.abf,100,5
2023_03_02_01_0007.abf,115,6
2023_03_02_01_0007.abf,130,7
2023_03_02_01_0007.abf,145,7
2023_03_02_01_0007.abf,160,8
2023_03_02_01_0007.abf,175,9
2023_03_02_01_0007.abf,190,9
2023_03_02_01_0007.abf,205,10
2023_03_02_01_0007.abf,220,10
2023_03_02_01_0007.abf,235,11
2023_03_02_01_0007.abf,250,11
2023_03_02_01_0007.abf,265,11
2023_03_02_01_0007.abf,280,12
2023_03_02_01_0007.abf,295,12
2023_03_02_01_0007.abf,310,13
2023_03_31_02_0003.abf,-50,0
2023_03_31_02_0003.abf,-35,0
2023_03_31_02_0003.abf,-20,0
2023_03_31_02_0003.abf,-5,0
2023_03_31_02_0003.abf,10,0
2023_03_31_02_0003.abf,25,0
2023_03_31_02_0003.abf,40,0
2023_03_31_02_0003.abf,55,0
2023_03_31_02_0003.abf,70,1
2023_03_31_02_0003.abf,85,1
2023_03_31_02_0003.abf,100,2
2023_03_31_02_0003.abf,115,4
2023_03_31_02_0003.abf,130,5
2023_03_31_02_0003.abf,145,7
2023_03_31_02_0003.abf,160,8
2023_03_31_02_0003.abf,175,9
2023_03_31_02_0003.abf,190,9
2023_03_31_02_0003.abf,205,10
2023_03_31_02_0003.abf,220,10
2023_03_31_02_0003.abf,235,11
2023_03_31_02_0003.abf,250,11
2023_03_31_02_0003.abf,265,12
2023_03_31_02_0003.abf,280,12
