CellName,strain,treatment,Rm,Rb,maxFiringRate
2023_01_13_04,WKY,0,40.9221995854231,3.96298076774209e-10,17.9610879438039
2023_01_13_05,WKY,0,43.4249260841597,2.69600536361438e-10,23.225870649807
2023_02_02_03_0007.abf,WKY,0,77.065141569392,7.31153996431356e-10,22.9458792535948
2023_02_02_04_0007.abf,WKY,0,1128.56057327047,1.82789260198696e-08,18.8205481769033
2023_02_02_05_0007.abf,WKY,0,3.33780364815468e+16,676940.860490852,15.2852219642595
2023_03_15_04_0005.abf,WKY,0,64.8064740197934,7.25904848618463e-10,19.3936798084583
2023_03_16_01_0007.abf,WKY,0,71.8586329543436,7.54535864139133e-10,20.9257169873377
2023_03_16_02_0007.abf,WKY,0,2.33038791335031e+16,430945.954296349,16.7635928806471
2023_03_16_03_0005.abf,WKY,0,35.9396400812574,1.44118331350385e-10,24.5338883195038
2023_03_16_04_0007.abf,WKY,0,3.6851113913625e+16,704088.545676992,16.225012299042
2023_03_16_05_0005.abf,WKY,0,8.69868422006898e+15,219232.748617114,12.3001336489692
2023_03_16_06_0005.abf,WKY,0,54.5622064157378,5.93150736047251e-10,18.7280852617207
2023_03_16_07_0005.abf,WKY,0,53.4457110533465,7.07566214075473e-10,16.2821546129956
2023_03_31_01_0006.abf,WKY,0,3.66104793365397e+16,955380.293763692,11.8792994458963
2023_04_12_05_0003.abf,WKY,0,29.5735844282356,4.06150680182171e-10,12.8015115065184
2023_04_13_05_0004.abf,WKY,0,1087.24037850811,1.31243844544376e-08,25.0881994988751
2023_04_13_06_0003.abf,WKY,0,1.88826227152994e+16,507474.950432639,11.5347822326056
2023_05_12_07_0004.abf,WKY,0,1.37571543452529e+16,478204.066477015,8.91819653154993
2023_05_22_01_0004.abf,WKY,0,3.72169823330137e+16,717150.765807221,16.0876416415005
2023_05_22_06_0005.abf,WKY,0,1.66130998220314e+16,420114.619984968,12.2587044102726
2023_06_08_01_0004.abf,WKY,0,63.3568256520146,6.03916154353625e-10,21.4906103350537
2023_06_08_03,WKY,0,2.546336066494e+16,974068.603727167,8.10378424674325
2023_07_06_02,WKY,0,49.3517475923259,3.74416858906563e-10,22.3533969897572
2024_12_16_02,WKY,0,54.0507985074334,2.26627098326412e-10,31.2241919753228
