CellName,strain,treatment,Rm,Rb,maxFiringRate
2023_01_13_04,WKY,0,40.92219959,3.96E-10,17.96108794
2023_01_13_05,WKY,0,43.42492608,2.70E-10,23.22587065
2023_02_02_03_0007.abf,WKY,0,77.06514157,7.31E-10,22.94587925
2023_02_02_04_0007.abf,WKY,0,1128.560573,1.83E-08,18.82054818
2023_03_15_04_0005.abf,WKY,0,64.80647402,7.26E-10,19.39367981
2023_03_16_01_0007.abf,WKY,0,71.85863295,7.55E-10,20.92571699
2023_03_16_03_0005.abf,WKY,0,35.93964008,1.44E-10,24.53388832
2023_03_16_06_0005.abf,WKY,0,54.56220642,5.93E-10,18.72808526
2023_03_16_07_0005.abf,WKY,0,53.44571105,7.08E-10,16.28215461
2023_04_12_05_0003.abf,WKY,0,29.57358443,4.06E-10,12.80151151
2023_04_13_05_0004.abf,WKY,0,1087.240379,1.31E-08,25.0881995
2023_06_08_01_0004.abf,WKY,0,63.35682565,6.04E-10,21.49061034
2023_07_06_02,WKY,0,49.35174759,3.74E-10,22.35339699
2024_12_16_02,WKY,0,54.05079851,2.27E-10,31.22419198
